date,open,high,low,close,volumn,amount,post_close
2007-3-27,2234.626,2235.572,2220.232,2229.93,5240932,5096650240,2238.982
2007-3-28,2240.239,2263.722,2232.946,2260.976,7090848,6414809600,2214.994
2007-3-29,2285.021,2302.748,2281.359,2302.748,9466884,9215910912,2334.521
2007-3-30,2287.71,2300.854,2275.283,2293.063,6333385,6489133056,2283.0029999999997
2007-4-2,2299.493,2323.032,2299.493,2316.953,6187875,6278165504,2323.013
2007-4-3,2352.384,2358.022,2344.1839999999997,2350.026,6802260,6661859840,2358.1620000000003
2007-4-4,2367.92,2368.75,2355.32,2358.8,4247733,4879538000,2380.76
2007-4-5,2367.42,2375.44,2353.95,2367.82,4913133,5525209000,2368.39
2007-4-6,2369.8920000000003,2394.92,2361.913,2392.9829999999997,4958084,5736498688,2385.473
2007-4-9,2398.856,2414.234,2398.856,2414.234,6229770,6337731072,2428.507
2007-4-10,2459.411,2473.356,2457.7039999999997,2470.365,6759271,8206168064,2444.718
2007-4-11,2486.974,2506.902,2486.974,2504.52,9132233,11116791808,2511.492
2007-4-12,2513.846,2517.42,2505.12,2506.6420000000003,6158602,7420232704,2526.328
2007-4-13,2538.403,2538.403,2519.174,2531.92,6276204,7664034816,2525.99
2007-4-16,2519.657,2544.055,2519.657,2525.72,6019653,7218349568,2555.433
2007-4-17,2595.051,2603.166,2579.678,2580.0589999999997,5979038,6737907712,2553.045
2007-4-18,2578.848,2578.848,2535.792,2535.792,6326362,7155020800,2551.425
2007-4-19,2555.077,2558.77,2533.196,2533.196,8198475,9417893888,2496.732
2007-4-20,2465.741,2501.989,2465.741,2494.785,6005396,7277876736,2523.654
2007-4-23,2573.99,2588.09,2547.5,2577.46,9089190,9781741000,2622.3
2007-4-24,2673.9840000000004,2682.5690000000004,2640.428,2656.12,9417892,10613427200,2668.2309999999998
2007-4-25,2649.6740000000004,2661.7340000000004,2608.78,2661.7340000000004,7148259,8575510528,2639.11
2007-4-26,2696.3959999999997,2710.7729999999997,2688.7670000000003,2696.48,6895531,8270985728,2687.2790000000005
2007-4-27,2706.357,2707.44,2681.953,2689.67,5033587,6506912768,2685.198
2007-4-30,2715.886,2738.009,2709.3759999999997,2733.6,8262642,11589827584,2734.183
2007-5-8,2827.1220000000003,2836.002,2796.015,2810.047,8686761,12179569664,2838.828
2007-5-9,2833.335,2857.761,2802.3520000000003,2852.223,11558956,12989338624,2795.014
2007-5-10,2864.0959999999995,2880.645,2844.7990000000004,2851.8979999999997,12289661,13172114432,2886.4429999999998
2007-5-11,2868.633,2868.633,2831.093,2849.301,8367131,11964508160,2840.913
2007-5-14,2823.4640000000004,2881.225,2803.525,2870.1859999999997,9068079,11810402304,2889.5890000000004
2007-5-15,2888.914,2894.843,2859.228,2859.228,5977783,7967286272,2839.6059999999998
2007-5-16,2764.261,2810.607,2746.3309999999997,2761.462,6303265,8222646272,2789.223
2007-5-17,2837.722,2858.3459999999995,2825.6820000000002,2849.155,6106376,7998750720,2864.583
2007-5-18,2862.9390000000003,2863.184,2840.114,2840.216,5670416,7453574144,2857.165
2007-5-21,2763.768,2850.778,2757.719,2835.028,8964817,12038011904,2855.37
2007-5-22,2873.308,2889.7540000000004,2873.308,2889.7540000000004,8369246,10559405056,2887.216
