date,actual,RandomForestPred,RandomForestError,RandomForestSinglePred,RandomForestSingleError,RidgePred,RidgeError,RidgeSinglePred,RidgeSingleError
0,2264.8,2285.3865199999996,0.9909921057904904,2285.3865199999996,0.9909921057904904,2272.7288211566524,0.9965113210679412,2272.7288211566524,0.9965113210679412
1,2266.55,2281.8872,0.9932787212268863,2276.2588000000005,0.9957347556437781,2271.7910799797196,0.9976929744878802,2271.742777091887,0.997714187915881
2,2314.28,2282.7944,1.0137925693176748,2275.6031999999996,1.016996284765288,2273.282177954585,1.018034638393331,2273.208821046719,1.0180674905767653
3,2311.52,2310.7960000000007,1.0003133119496481,2319.8284000000003,0.9964185281980338,2318.8070856976688,0.9968573989002296,2318.9600015859896,0.9967916645475121
4,2305.65,2299.2915999999996,1.0027653734741606,2300.7980000000002,1.00210883354384,2303.492237162046,1.0009367354502625,2303.5544886918083,1.0009096860171873
5,2352.48,2339.0335999999998,1.005748698949857,2332.7471999999993,1.0084590391963606,2344.616552851616,1.0033538307740857,2344.7260763190075,1.0033069635550629
6,2342.08,2318.3475999999996,1.0102367738125206,2328.5584,1.0058068545757752,2327.725078220243,1.0061669317884965,2327.8325573191432,1.0061204757344167
7,2339.63,2350.1108000000004,0.9955402953767115,2354.804800000001,0.9935558140530372,2350.826580472257,0.9952371729308899,2351.0323887855616,0.9951500503183406
8,2334.95,2344.6776,0.9958511993290676,2343.1711999999998,0.996491421540176,2340.246492558005,0.997736780046526,2340.337364969854,0.9976980391585878
9,2368.54,2336.1135999999997,1.013880489373462,2338.164399999999,1.0129912165286585,2339.823016174652,1.012273143578311,2339.8867366533523,1.01224557706055
10,2376.32,2375.2587599999997,1.0004467892163464,2379.03652,0.9988581427913515,2372.538367069765,1.0015939185569023,2372.7338642567083,1.0015113940072733
11,2396.5,2374.1101200000003,1.0094308515057422,2379.1860000000006,1.007277278867646,2375.987013499215,1.0086334590148178,2376.1572887951534,1.0085611803986096
12,2402.41,2393.07252,1.0039018792460161,2403.56456,0.9995196467699624,2399.147926286264,1.0013596801089233,2399.5264698083383,1.0012017080152869
13,2434.45,2434.5797999999995,0.9999466848447524,2430.5466800000004,1.0016059432357824,2435.6299692210637,0.9995155383880249,2436.0512852614133,0.9993426717774369
14,2412.01,2433.46992,0.9911813497986448,2434.1922799999998,0.9908872112600737,2418.334148119353,0.9973849155112536,2418.5616367393063,0.9972911020170903
15,2404.26,2402.7883999999995,1.0006124550959214,2403.3668,1.0003716453102374,2405.255362540806,0.9995861717818793,2405.4220595079296,0.9995168999538621
16,2411.0,2400.4768,1.0043837957525772,2407.1740000000004,1.0015894156384206,2393.6323675015965,1.0072557643914763,2393.811850135536,1.007180242617435
17,2441.91,2447.3464,0.9977786552814918,2440.5184000000004,1.0005702067232927,2437.4619890068134,1.0018248534800738,2437.8529275549167,1.0016641990167767
18,2451.06,2465.4323200000003,0.9941704666222594,2471.4769600000004,0.991738964056537,2467.47168324701,0.9933487855773837,2467.9356191275497,0.9931620505021458
19,2443.84,2437.2628,1.00269860107002,2444.2384,0.9998370044427745,2441.482335524729,1.0009656692743445,2441.675382459031,1.0008865296167213
20,2461.25,2449.4364,1.004822987034895,2444.4695999999994,1.006864638447539,2445.94612760252,1.0062568313442295,2446.116912446629,1.0061865757422994
21,2477.7,2456.6808,1.0085559344950308,2461.1424000000006,1.006727607472042,2463.63357915594,1.005709623769976,2463.907812800653,1.0055976880010253
