date,open,high,low,close,vol,amount,post_close,MA_Mean_value,MA_Sum_value,EMA_Mean_value,EMA_Sum_value,MACD_DIF_value,MACD_DEA_value,MACD_MACD_value,KDJ_K_value,KDJ_D_value,KDJ_J_value,BOLL_upper_value,BOLL_middle_value,BOLL_lower_value,RSI_RSI_value,ASI_ASI_value,WR_WR_value,CR_CR_value,RT_RT_value,WVAD_WVAD_value,EMV_EMV_value,CCI_CCI_value,ROC_ROC_value,MIKE_WEKR_value,MIKE_MIDR_value,MIKE_STOR_value,MIKE_WEKS_value,MIKE_MIDS_value,MIKE_STOS_value,BIAS_BIAS_value
2007-1-4,1842.633,1892.346,1842.486,1886.055,12320378,9067813888,1915.235,1886.055,1886.055,1886.055,1886.055,0.0,0.0,0.0,87.38267148014451,87.38267148014451,87.38267148014452,1886.055,1886.055,1886.055,50.219964174198566,79.5680833333333,12.617328519855501,202.51703633567868,0.5807717722636774,10729551.815403156,4.141644307687558e-08,-7879.325187258396,0.0,1904.7720000000002,1923.489,1942.206,1854.9120000000003,1823.7690000000002,1792.6260000000002,0.0
2007-1-5,1814.702,1836.903,1792.42,1836.602,10435093,7226864128,1826.382,1861.3285,3722.657,1876.1644000000001,3722.657,-3.944968660968698,-0.7889937321937396,-6.311949857549917,72.99335395075637,82.5862323036818,53.80759724490551,1910.7815,1861.3285,1811.8755,0.0,129.06650000000002,55.78528110801989,-47.24220339083563,-2.657022086876193,15866987.165986553,-3.247160015653193e-07,-69919.83966038733,-2.622033821919296,1851.5300000000002,1921.901,1992.272,1751.6040000000003,1722.0490000000002,1692.4940000000001,1.3284328908089027
2007-1-8,1813.619,1862.298,1813.619,1861.223,8415484,6249569280,1819.233,1861.2933333333333,5583.88,1873.17612,5583.88,-5.026730789522844,-1.6365411436595605,-6.780379291726567,71.61355327531226,78.92867262755861,56.983314570819545,1901.6716612608518,1861.2933333333333,1820.9150054058148,33.23838323838313,75.35299999999995,31.146048075575994,-3.2869381515806526,1.3316673365303622,24096628.291235626,-1.4325154982633606e-07,-108058.5320466594,-1.3166105972519415,1899.0066666666662,1945.639333333333,1992.272,1799.0806666666663,1745.7873333333332,1692.4940000000001,0.0037787345000253004
2007-1-9,1858.093,1880.918,1852.469,1876.98,5601280,4352259584,1902.538,1865.2150000000001,7460.860000000001,1873.9368960000002,7460.860000000001,-4.560011878395471,-2.2212352906067427,-4.677553175577457,75.94990909665721,77.93575145059147,71.97822438878868,1902.7298058504907,1865.2150000000001,1827.7001941495096,44.94884839309366,79.19999999999999,15.37737926065288,30.134831460674278,0.8430303715849519,27815260.76900287,4.4577783241310446e-08,-53785.207699207334,-0.481163062583013,1947.8246666666669,1970.0483333333334,1992.272,1847.898666666667,1770.1963333333335,1692.4940000000001,0.6307583844221643
2007-1-10,1945.296,1960.695,1939.945,1957.914,7678747,5844985344,1937.293,1883.7548000000002,9418.774000000001,1890.7323168000003,9418.774000000001,2.3138905377684296,-1.3142101249317084,7.256201325400276,83.41572209474568,79.7624083319762,90.72234962028463,1965.1518237234754,1883.7548000000002,1802.3577762765249,71.04031856645096,112.94774999999987,1.6526519090773741,461.76467686722856,4.221551852734695,32484679.06519562,3.4145617948592586e-07,-14288.437841649116,3.810016144810195,2113.2826666666665,2121.126333333333,2128.97,1945.0076666666666,1784.5763333333334,1624.1450000000002,3.9367756355551062
2007-1-11,1964.652,1964.652,1933.064,1933.957,6475901,5292054528,1951.885,1892.1218333333336,11352.731000000002,1899.3772534400005,11352.731000000002,5.761957780771354,0.10102345620890407,11.3218686491249,83.00318426239893,80.84266697545044,87.32421883629593,1975.316631819911,1892.1218333333336,1808.9270348467562,62.30009962921501,31.373499999999922,17.821891402294547,274.93250852736776,-1.2311457702521622,26191853.27074837,3.3272957703773727e-07,-11710.669164048368,2.539798680314203,2095.3620000000005,2116.1230000000005,2136.884,1923.1300000000006,1771.6590000000003,1620.188,2.211018652692458
2007-1-12,1911.508,1930.664,1897.159,1930.664,4186158,3496825600,1906.047,1897.6278571428575,13283.395000000002,1905.6346027520005,13283.395000000002,8.135082170238093,1.7078351990147418,12.854493942446702,82.09084038537742,81.25872477875943,83.7550715986134,1979.2378924741543,1897.6278571428575,1816.0178218115607,62.30009962921501,46.118250000000046,19.733847368665558,128.8686692059255,-0.1704177872534629,28585228.6668982,-2.1119668184951848e-09,-10750.272076110707,2.365201438982422,2046.5713333333333,2091.7276666666667,2136.884,1874.3393333333333,1747.2636666666667,1620.188,1.7409178903435276
2007-1-15,1872.078,1907.091,1872.078,1876.447,4846797,4023604736,1929.056,1894.9802500000003,15159.842000000002,1899.7970822016005,15159.842000000002,5.57665732243845,2.4815996236994837,6.190115397477933,70.98959396339168,77.83568117363684,57.297419542901366,1972.594347905922,1894.9802500000003,1817.3661520940786,48.73161698247361,75.16150000000005,51.21289888057978,72.14187841224533,-2.848389007622476,29190022.774601042,-2.1380305152647529e-07,-13454.956149887023,-0.5094231080217795,1977.9906666666666,2057.4373333333333,2136.884,1805.7586666666666,1712.9733333333334,1620.188,0.9780181086320243
2007-1-16,1989.222,2005.426,1982.464,2005.426,6953977,6096845824,1972.905,1907.2520000000004,17165.268000000004,1920.9228657612805,17165.268000000004,13.797564836869697,4.7447926663335265,18.10554434107234,80.65972930892778,78.77703055206715,84.42512682264905,2008.1167002408015,1907.2520000000004,1806.3872997591993,66.22891738419445,134.44024999999993,0.0,541.0592987519551,6.647641189550058,34097358.516609564,1.7924047789441874e-07,-9916.038734769007,6.329136743096033,2203.124,2210.778,2218.432,1990.118,1784.766,1579.4140000000002,5.147405796402337
2007-1-17,1997.807,2001.028,1979.224,1987.26,4548608,4039474432,2025.46,1918.4970000000003,17266.473,1934.1902926090245,17266.473,18.632069985362705,7.522248130139362,22.219643710446686,84.26368678559123,80.60591596324184,91.57922843029002,2029.4618882965542,1918.4970000000003,1807.5321117034464,63.19139374476123,32.45199999999994,8.528398261081826,364.28060533812794,-0.9099701480226763,21167560.481430225,1.5862653976911378e-07,-8542.152866069224,8.203083738338513,2185.921333333333,2202.1766666666663,2218.432,1972.9153333333334,1776.1646666666668,1579.4140000000002,3.584212015968734
